division,jurisdiction,name
ocd-division/country:us/state:sd/county:brown/place:aberdeen,ocd-jurisdiction/country:us/state:sd/county:brown/place:aberdeen/government,"Aberdeen, SD"
ocd-division/country:us/state:ms/place:biloxi,ocd-jurisdiction/country:us/state:ms/place:biloxi/government,"Biloxi, MS"
ocd-division/country:us/state:fl/place:bradenton,ocd-jurisdiction/country:us/state:fl/place:bradenton/government,"Bradenton, FL"
ocd-division/country:us/state:sc/place:columbia,ocd-jurisdiction/country:us/state:sc/place:columbia/government,"Columbia, SC"
ocd-division/country:us/state:mn/place:duluth,ocd-jurisdiction/country:us/state:mn/place:duluth/government,"Duluth, MN"
ocd-division/country:us/state:in/place:fort_wayne,ocd-jurisdiction/country:us/state:in/place:fort_wayne/government,"Fort Wayne, IN"
ocd-division/country:us/state:in/place:gary,ocd-jurisdiction/country:us/state:in/place:gary/government,"Gary, IN"
ocd-division/country:us/state:ga/place:milledgeville,ocd-jurisdiction/country:us/state:ga/place:milledgeville/government,"Milledgeville, GA"
ocd-division/country:us/state:sc/place:myrtle_beach,ocd-jurisdiction/country:us/state:sc/place:myrtle_beach/government,"Myrtle Beach, SC"
ocd-division/country:us/state:fl/county:palm_beach,ocd-jurisdiction/country:us/state:fl/county:palm_beach/government,"Palm Beach, FL"
ocd-division/country:us/state:pa/place:state_college,ocd-jurisdiction/country:us/state:pa/place:state_college/government,"State College, PA"
ocd-division/country:us/state:mn/place:st_paul,ocd-jurisdiction/country:us/state:mn/place:st_paul/government,"St. Paul, MN"
ocd-division/country:us/state:fl/place:tallahassee,ocd-jurisdiction/country:us/state:fl/place:tallahassee/government,"Tallahassee, FL"
ocd-division/country:us/state:oh/place:akron,ocd-jurisdiction/country:us/state:oh/place:akron/government,"Akron, OH"
ocd-division/country:us/state:in/place:bloomington,ocd-jurisdiction/country:us/state:in/place:bloomington/government,"Bloomington, IN"
ocd-division/country:us/state:ca/place:carlsbad,ocd-jurisdiction/country:us/state:ca/place:carlsbad/government,"Carlsbad, CA"
ocd-division/country:us/state:nc/place:charlotte,ocd-jurisdiction/country:us/state:nc/place:charlotte/government,"Charlotte, NC"
ocd-division/country:us/state:fl/place:clearwater,ocd-jurisdiction/country:us/state:fl/place:clearwater/government,"Clearwater, FL"
ocd-division/country:us/state:ga/place:columbus,ocd-jurisdiction/country:us/state:ga/place:columbus/government,"Columbus, GA"
ocd-division/country:us/state:il/county:cook/place:evanston,ocd-jurisdiction/country:us/state:il/county:cook/place:evanston/government,"Evanston, IL"
ocd-division/country:us/state:ks/place:kansas_city,ocd-jurisdiction/country:us/state:ks/place:kansas_city/government,"Kansas City"
ocd-division/country:us/state:tx/county:montgomery,ocd-jurisdiction/country:us/state:tx/county:montgomery/government,"Montgomery, TX"
ocd-division/country:us/state:ca/place:palo_alto,ocd-jurisdiction/country:us/state:ca/place:palo_alto/government,"Palo Alto, CA"
ocd-division/country:us/state:va/place:richmond,ocd-jurisdiction/country:us/state:va/place:richmond/government,"Richmond, VA"
ocd-division/country:us/state:wi/place:whitewater,ocd-jurisdiction/country:us/state:wi/place:whitewater/government,"Whitewater, WI"
ocd-division/country:us/state:ks/county:wichita,ocd-jurisdiction/country:us/state:ks/county:wichita/government,"Wichita, KS"
ocd-division/country:us/state:nd/place:grand_forks,ocd-jurisdiction/country:us/state:nd/place:grand_forks/government,"Grand Forks, ND"
